DateOfBite,Borough
January 08 2018,Bronx
January 09 2018,Bronx
January 07 2018,Bronx
January 12 2018,Bronx
January 15 2018,Bronx
January 15 2018,Bronx
January 19 2018,Bronx
January 12 2018,Bronx
January 23 2018,Bronx
January 21 2018,Bronx
January 20 2018,Bronx
January 20 2018,Bronx
January 28 2018,Bronx
February 06 2018,Bronx
February 06 2018,Bronx
February 06 2018,Bronx
February 07 2018,Bronx
February 10 2018,Bronx
February 16 2018,Bronx
January 14 2018,Bronx
February 20 2018,Bronx
February 08 2018,Bronx
February 20 2018,Bronx
February 26 2018,Bronx
March 01 2018,Bronx
March 02 2018,Bronx
March 07 2018,Bronx
March 10 2018,Bronx
March 13 2018,Bronx
March 14 2018,Bronx
March 14 2018,Bronx
March 14 2018,Bronx
February 28 2018,Bronx
March 13 2018,Bronx
March 18 2018,Bronx
March 17 2018,Bronx
February 20 2018,Bronx
March 20 2018,Bronx
March 20 2018,Bronx
March 23 2018,Bronx
March 26 2018,Bronx
March 28 2018,Bronx
March 23 2018,Bronx
March 28 2018,Bronx
March 29 2018,Bronx
March 25 2018,Bronx
April 02 2018,Bronx
April 04 2018,Bronx
April 03 2018,Bronx
April 06 2018,Bronx
April 06 2018,Bronx
April 08 2018,Bronx
April 12 2018,Bronx
April 14 2018,Bronx
April 14 2018,Bronx
April 17 2018,Bronx
April 14 2018,Bronx
April 20 2018,Bronx
April 20 2018,Bronx
April 24 2018,Bronx
April 26 2018,Bronx
April 28 2018,Bronx
April 30 2018,Bronx
April 17 2018,Bronx
May 03 2018,Bronx
May 03 2018,Bronx
May 05 2018,Bronx
May 05 2018,Bronx
April 18 2018,Bronx
May 11 2018,Bronx
May 14 2018,Bronx
May 15 2018,Bronx
May 16 2018,Bronx
May 16 2018,Bronx
April 27 2018,Bronx
May 13 2018,Bronx
May 18 2018,Bronx
May 17 2018,Bronx
May 17 2018,Bronx
May 25 2018,Bronx
May 31 2018,Bronx
March 31 2018,Bronx
June 05 2018,Bronx
May 24 2018,Bronx
June 06 2018,Bronx
May 27 2018,Bronx
June 07 2018,Bronx
June 03 2018,Bronx
June 14 2018,Bronx
June 17 2018,Bronx
June 17 2018,Bronx
June 17 2018,Bronx
June 17 2018,Bronx
June 17 2018,Bronx
June 04 2018,Bronx
June 07 2018,Bronx
June 12 2018,Bronx
June 12 2018,Bronx
June 15 2018,Bronx
June 12 2018,Bronx
June 22 2018,Bronx
June 03 2018,Bronx
June 19 2018,Bronx
June 14 2018,Bronx
June 27 2018,Bronx
June 18 2018,Bronx
June 25 2018,Bronx
June 20 2018,Bronx
June 26 2018,Bronx
June 27 2018,Bronx
July 02 2018,Bronx
July 01 2018,Bronx
July 02 2018,Bronx
July 01 2018,Bronx
June 29 2018,Bronx
June 23 2018,Bronx
July 02 2018,Bronx
July 11 2018,Bronx
June 25 2018,Bronx
July 14 2018,Bronx
July 18 2018,Bronx
July 06 2018,Bronx
July 22 2018,Bronx
July 15 2018,Bronx
July 06 2018,Bronx
July 19 2018,Bronx
July 21 2018,Bronx
July 25 2018,Bronx
July 29 2018,Bronx
August 02 2018,Bronx
August 10 2018,Bronx
August 11 2018,Bronx
August 17 2018,Bronx
August 19 2018,Bronx
July 08 2018,Bronx
August 14 2018,Bronx
August 21 2018,Bronx
August 21 2018,Bronx
August 21 2018,Bronx
August 21 2018,Bronx
August 14 2018,Bronx
August 19 2018,Bronx
August 19 2018,Bronx
August 08 2018,Bronx
August 21 2018,Bronx
September 03 2018,Bronx
September 01 2018,Bronx
August 16 2018,Bronx
August 07 2018,Bronx
August 13 2018,Bronx
September 03 2018,Bronx
August 01 2018,Bronx
August 31 2018,Bronx
August 25 2018,Bronx
July 11 2018,Bronx
August 24 2018,Bronx
September 17 2018,Bronx
September 13 2018,Bronx
August 23 2018,Bronx
September 19 2018,Bronx
August 07 2018,Bronx
September 21 2018,Bronx
September 23 2018,Bronx
September 21 2018,Bronx
September 24 2018,Bronx
September 25 2018,Bronx
September 15 2018,Bronx
September 25 2018,Bronx
September 26 2018,Bronx
October 05 2018,Bronx
October 08 2018,Bronx
October 03 2018,Bronx
October 07 2018,Bronx
October 07 2018,Bronx
September 30 2018,Bronx
October 15 2018,Bronx
October 12 2018,Bronx
October 12 2018,Bronx
October 07 2018,Bronx
October 17 2018,Bronx
October 19 2018,Bronx
October 20 2018,Bronx
October 17 2018,Bronx
September 10 2018,Bronx
October 26 2018,Bronx
October 27 2018,Bronx
November 01 2018,Bronx
November 04 2018,Bronx
November 09 2018,Bronx
October 20 2018,Bronx
November 13 2018,Bronx
November 13 2018,Bronx
November 16 2018,Bronx
November 16 2018,Bronx
October 07 2018,Bronx
October 22 2018,Bronx
November 20 2018,Bronx
November 20 2018,Bronx
November 22 2018,Bronx
November 22 2018,Bronx
November 20 2018,Bronx
November 21 2018,Bronx
November 24 2018,Bronx
November 10 2018,Bronx
December 05 2018,Bronx
December 09 2018,Bronx
December 09 2018,Bronx
December 09 2018,Bronx
December 02 2018,Bronx
December 14 2018,Bronx
October 13 2018,Bronx
December 20 2018,Bronx
December 20 2018,Bronx
December 24 2018,Bronx
December 19 2018,Bronx
December 30 2018,Bronx
January 06 2019,Bronx
January 06 2019,Bronx
January 07 2019,Bronx
