UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
2713,January 08 2018,DOG,Chihuahua,10Y,M,FALSE,Bronx,10468
2716,January 09 2018,DOG,Yorkshire Terrier,2,M,FALSE,Bronx,10462
2718,January 07 2018,DOG,Pit Bull,2,M,FALSE,Bronx,10456
2720,January 12 2018,DOG,Pit Bull,,M,FALSE,Bronx,10468
2723,January 15 2018,DOG,Chihuahua,2,M,FALSE,Bronx,10470
2724,January 15 2018,DOG,Jack Russ,6,M,TRUE,Bronx,10461
2725,January 19 2018,DOG,LARGE MIX BREED,4,M,FALSE,Bronx,10473
2726,January 12 2018,DOG,Chihuahua,2,M,TRUE,Bronx,10471
2728,January 23 2018,DOG,Pit Bull,1,M,FALSE,Bronx,10456
2735,January 21 2018,DOG,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Bronx,
2739,January 20 2018,DOG,Pit Bull,1,M,FALSE,Bronx,10458
2740,January 20 2018,DOG,Pit Bull,1,M,FALSE,Bronx,10458
2741,January 28 2018,DOG,"Poodle, Toy",4,M,FALSE,Bronx,10455
2746,February 06 2018,DOG,Maltese,7,M,TRUE,Bronx,10453
2748,February 06 2018,DOG,"Poodle, Standard",,M,FALSE,Bronx,10465
2749,February 06 2018,DOG,Jack Russ,5,M,FALSE,Bronx,10456
2751,February 07 2018,DOG,Pit Bull,7,M,FALSE,Bronx,10466
2753,February 10 2018,DOG,"Poodle, Standard",,M,TRUE,Bronx,10465
2757,February 16 2018,DOG,"Welsh Corgi, Cardigan",4,M,TRUE,Bronx,10475
2758,January 14 2018,DOG,Greyhound,3,M,TRUE,Bronx,10461
2759,February 20 2018,DOG,Rottweiler,7,M,FALSE,Bronx,10462
2760,February 08 2018,DOG,Rottweiler,13,M,TRUE,Bronx,10461
2761,February 20 2018,DOG,Rottweiler,1,M,TRUE,Bronx,10461
2768,February 26 2018,DOG,Labrador Retriever Crossbreed,2,M,TRUE,Bronx,10468
2769,March 01 2018,DOG,Yorkshire Terrier,1,M,FALSE,Bronx,10455
2775,March 02 2018,DOG,BASENJI,3,M,FALSE,Bronx,10467
2776,March 07 2018,DOG,Yorkshire Terrier,10M,M,FALSE,Bronx,10452
2785,March 10 2018,DOG,Chihuahua,2,M,FALSE,Bronx,10468
2786,March 13 2018,DOG,Pit Bull,,M,FALSE,Bronx,10462
2789,March 14 2018,DOG,Bull dog,,M,FALSE,Bronx,10453
2791,March 14 2018,DOG,Mixed/Other,4,M,FALSE,Bronx,10473
2792,March 14 2018,DOG,SHIH TZU/MALTESE X,,M,FALSE,Bronx,10464
2793,February 28 2018,DOG,Pit Bull,4,M,TRUE,Bronx,10473
2794,March 13 2018,DOG,MIXED BREED,11,M,FALSE,Bronx,10472
2796,March 18 2018,DOG,Mixed/Other,5,M,FALSE,Bronx,10469
2797,March 17 2018,DOG,Maltese,2,M,TRUE,Bronx,10453
2799,February 20 2018,DOG,American Pit Bull Terrier/Pit Bull,7,M,TRUE,Bronx,10466
2801,March 20 2018,DOG,UNKNOWN,2,M,FALSE,Bronx,
2802,March 20 2018,DOG,Shih Tzu,3M,M,FALSE,Bronx,10458
2808,March 23 2018,DOG,WEIMARANER/SHAR-PEI MIX,4,M,FALSE,Bronx,
2810,March 26 2018,DOG,Cocker Spaniel,1,M,FALSE,Bronx,10451
2811,March 28 2018,DOG,Mixed/Other,3,M,FALSE,Bronx,10469
2814,March 23 2018,DOG,JACK RUSSEL/BOSTON TERRIER MIX,3,M,FALSE,Bronx,10466
2816,March 28 2018,DOG,JACK RUSSELL / POODLE MIX,12,M,FALSE,Bronx,10460
2817,March 29 2018,DOG,Rottweiler,3,M,FALSE,Bronx,10469
2818,March 25 2018,DOG,CHIHUAHUA / POMERANIAN MIX,5,M,TRUE,Bronx,10458
2823,April 02 2018,DOG,Jack Russ,1,M,FALSE,Bronx,10452
2824,April 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,TRUE,Bronx,10462
2827,April 03 2018,DOG,Pit Bull,3,M,FALSE,Bronx,10458
2830,April 06 2018,DOG,Mixed/Other,2,M,FALSE,Bronx,10453
2831,April 06 2018,DOG,Mixed/Other,2,M,FALSE,Bronx,10453
2832,April 08 2018,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Bronx,10472
2834,April 12 2018,DOG,Pit Bull,3,M,TRUE,Bronx,10469
2838,April 14 2018,DOG,Staffordshire Bull Terrier,8M,M,FALSE,Bronx,10467
2841,April 14 2018,DOG,MIXED BREED,13,M,TRUE,Bronx,10465
2843,April 17 2018,DOG,Chihuahua,5,M,FALSE,Bronx,10451
2844,April 14 2018,DOG,YORKIE/CHIHUAHUA/PITBULL/SHITZU,2,M,FALSE,Bronx,10466
2848,April 20 2018,DOG,SHIH TZU / COCKER SPANIEL MIX,12,M,FALSE,Bronx,10452
2851,April 20 2018,DOG,AMERICAN BULLY,1,M,FALSE,Bronx,10458
2856,April 24 2018,DOG,Mixed/Other,3,M,FALSE,Bronx,10457
2859,April 26 2018,DOG,UNKNOWN,10,M,TRUE,Bronx,10452
2862,April 28 2018,DOG,"Poodle, Standard",10,M,FALSE,Bronx,10458
2865,April 30 2018,DOG,PEEKAPOO MIX,3M,M,FALSE,Bronx,10467
2867,April 17 2018,DOG,Mixed/Other,4,M,FALSE,Bronx,10467
2871,May 03 2018,DOG,German Shepherd,3,M,FALSE,Bronx,
2872,May 03 2018,DOG,Shih Tzu,10,M,FALSE,Bronx,
2873,May 05 2018,DOG,MIXED BREED,4,M,FALSE,Bronx,10463
2875,May 05 2018,DOG,Rottweiler,2,M,TRUE,Bronx,
2878,April 18 2018,DOG,American Pit Bull Terrier/Pit Bull,2,M,TRUE,Bronx,10452
2883,May 11 2018,DOG,Pit Bull,6,M,FALSE,Bronx,10461
2886,May 14 2018,DOG,LARGE MIX BREED,8,M,FALSE,Bronx,10462
2887,May 15 2018,DOG,American Pit Bull Terrier/Pit Bull,6,M,TRUE,Bronx,10467
2888,May 16 2018,DOG,Pit Bull,4,M,FALSE,Bronx,10463
2891,May 16 2018,DOG,TERRIER MIX,6,M,FALSE,Bronx,10474
2895,April 27 2018,DOG,MEDIUM MIXED BREED,2,M,FALSE,Bronx,10458
2896,May 13 2018,DOG,Mixed/Other,1,M,FALSE,Bronx,10454
2899,May 18 2018,DOG,LARGE MIXED BREED,3,M,FALSE,Bronx,10467
2900,May 17 2018,DOG,Mixed/Other,3,M,FALSE,Bronx,10453
2901,May 17 2018,DOG,Mixed/Other,10M,M,FALSE,Bronx,10453
2903,May 25 2018,DOG,,4,M,FALSE,Bronx,10454
2908,May 31 2018,DOG,Yorkshire Terrier,3,M,TRUE,Bronx,10461
2912,March 31 2018,DOG,Pit Bull,1,M,FALSE,Bronx,10460
2913,June 05 2018,DOG,LARGE MIXED BREED,2,M,FALSE,Bronx,10468
2914,May 24 2018,DOG,MALTESE/ FRENCH POODLE,11M,M,TRUE,Bronx,
2918,June 06 2018,DOG,LARGE MIXED BREED,3,M,FALSE,Bronx,10456
2921,May 27 2018,DOG,Shih Tzu,1,M,FALSE,Bronx,10466
2922,June 07 2018,DOG,Chihuahua,,M,FALSE,Bronx,10468
2927,June 03 2018,DOG,Pit Bull,,M,TRUE,Bronx,10469
2928,June 14 2018,DOG,Cane Corso,3,M,TRUE,Bronx,10460
2929,June 17 2018,DOG,Pit Bull,11M,M,FALSE,Bronx,10461
2930,June 17 2018,DOG,,11M,M,FALSE,Bronx,10461
2931,June 17 2018,DOG,Pit Bull,11M,M,FALSE,Bronx,10461
2932,June 17 2018,DOG,Pit Bull,11M,M,FALSE,Bronx,10461
2933,June 17 2018,DOG,Pit Bull,11M,M,FALSE,Bronx,10461
2934,June 04 2018,DOG,Mixed/Other,5,M,FALSE,Bronx,10468
2939,June 07 2018,DOG,SHEPHERD MIX,2022-03-05 0:00:00,M,FALSE,Bronx,10470
2942,June 12 2018,DOG,Mixed/Other,9M,M,FALSE,Bronx,10461
2943,June 12 2018,DOG,LARGE MIX BREED,9M,M,FALSE,Bronx,10461
2946,June 15 2018,DOG,Yorkshire Terrier,2,M,FALSE,Bronx,10463
2947,June 12 2018,DOG,Havanese,,M,TRUE,Bronx,10465
2948,June 22 2018,DOG,West High White Terrier,9,M,FALSE,Bronx,
2950,June 03 2018,DOG,Pit Bull,,M,FALSE,Bronx,
2952,June 19 2018,DOG,Rottweiler,1,M,FALSE,Bronx,10451
2955,June 14 2018,DOG,Pit Bull,4,M,FALSE,Bronx,
2958,June 27 2018,DOG,UNSURE,1,M,FALSE,Bronx,10458
2959,June 18 2018,DOG,LARGE MIX BREED,13,M,TRUE,Bronx,10469
